"","Training Set","Validation Set"
"Linear Regression",126.508837174684,139.824970657097
"Poisson Regression",107.199723531272,120.57576399281
"Random Forest",81.2571428254092,118.191622197638
"Log Model",2.77938936619576,2.79548819540022
