"","dt","main","description"
"116",2022-04-26 20:00:00,"Rain","light rain"
"117",2022-04-26 21:00:00,"Clouds","overcast clouds"
"118",2022-04-26 22:00:00,"Clouds","overcast clouds"
"119",2022-04-26 23:00:00,"Clouds","overcast clouds"
"120",2022-04-27 00:00:00,"Clouds","overcast clouds"
"121",2022-04-27 01:00:00,"Clouds","overcast clouds"
"122",2022-04-27 02:00:00,"Clouds","overcast clouds"
"123",2022-04-27 03:00:00,"Clouds","broken clouds"
"124",2022-04-27 04:00:00,"Clouds","scattered clouds"
"125",2022-04-27 05:00:00,"Clouds","scattered clouds"
"126",2022-04-27 06:00:00,"Clouds","scattered clouds"
"127",2022-04-27 07:00:00,"Clouds","overcast clouds"
"128",2022-04-27 08:00:00,"Clouds","overcast clouds"
"129",2022-04-27 09:00:00,"Clouds","scattered clouds"
"130",2022-04-27 10:00:00,"Clouds","broken clouds"
"131",2022-04-27 11:00:00,"Clouds","broken clouds"
"132",2022-04-27 12:00:00,"Clouds","broken clouds"
"133",2022-04-27 13:00:00,"Clouds","overcast clouds"
"134",2022-04-27 14:00:00,"Clouds","broken clouds"
"135",2022-04-27 15:00:00,"Clear","clear sky"
"136",2022-04-27 16:00:00,"Clear","clear sky"
"137",2022-04-27 17:00:00,"Clouds","few clouds"
"138",2022-04-27 18:00:00,"Clouds","overcast clouds"
