,dt,main,description,,,,,,
107,4/27/22 15:00,Clear,clear sky,,,,,,
108,4/27/22 16:00,Clear,clear sky,,,,,,
109,4/27/22 17:00,Clouds,few clouds,,,,,,
110,4/27/22 18:00,Clouds,overcast clouds,,,,,,
111,4/25/22 19:00,Clouds,broken clouds,,,,,,
112,4/25/22 20:00,Clouds,broken clouds,,,,,,
113,4/25/22 21:00,Clouds,broken clouds,,,,,,
114,4/25/22 22:00,Clouds,broken clouds,,,,,,
115,4/25/22 23:00,Clouds,overcast clouds,,,,,,
116,4/26/22 0:00,Clouds,overcast clouds,,,,,,
117,4/26/22 1:00,Clouds,overcast clouds,,,,,,
118,4/26/22 2:00,Clouds,overcast clouds,,,,,,
119,4/26/22 3:00,Clouds,overcast clouds,,,,,,
120,4/26/22 4:00,Clouds,overcast clouds,,,,,,
121,4/26/22 5:00,Clouds,overcast clouds,,,,,,
122,4/26/22 6:00,Clouds,overcast clouds,,,,,,
123,4/26/22 7:00,Clouds,overcast clouds,,,,,,
124,4/26/22 8:00,Mist,mist,,,,,,
125,4/26/22 9:00,Haze,haze,,,,,,
126,4/26/22 10:00,Mist,mist,,,,,,
127,4/26/22 11:00,Clouds,overcast clouds,,,,,,
128,4/26/22 12:00,Clouds,overcast clouds,,,,,,
129,4/26/22 13:00,Clouds,overcast clouds,,,,,,
130,4/26/22 14:00,Mist,mist,,,,,,
131,4/26/22 15:00,Drizzle,light intensity drizzle,,,,,,
132,4/26/22 16:00,Mist,mist,,,,,,
133,4/26/22 17:00,Clouds,broken clouds,,,,,,
134,4/26/22 18:00,Rain,moderate rain,,,,,,
135,4/24/22 0:00,,overcast clouds,,,,,,
136,4/24/22 1:00,,overcast clouds,,,,,,
137,4/24/22 2:00,,overcast clouds,,,,,,
138,4/24/22 3:00,,overcast clouds,,,,,,
139,4/24/22 4:00,,overcast clouds,,,,,,
140,4/24/22 5:00,,overcast clouds,,,,,,
141,4/24/22 6:00,,overcast clouds,,,,,,
142,4/24/22 7:00,,overcast clouds,,,,,,
143,4/24/22 8:00,,overcast clouds,,,,,,
144,4/24/22 9:00,,overcast clouds,,,,,,
145,4/24/22 10:00,,overcast clouds,,,,,,
146,4/24/22 11:00,,overcast clouds,,,,,,
147,4/24/22 12:00,,overcast clouds,,,,,,
148,4/24/22 13:00,,overcast clouds,,,,,,
149,4/24/22 14:00,,overcast clouds,,,,,,
150,4/24/22 15:00,,few clouds,,,,,,
151,4/24/22 16:00,,clear sky,,,,,,
152,4/24/22 17:00,,clear sky,,,,,,
153,4/24/22 18:00,,clear sky,,,,,,
154,4/24/22 19:00,,few clouds,,,,,,
155,4/24/22 20:00,,few clouds,,,,,,
156,4/24/22 21:00,,few clouds,,,,,,
157,4/24/22 22:00,,few clouds,,,,,,
158,4/24/22 23:00,,clear sky,,,,,,
159,4/23/22 0:00,,overcast clouds,,,,,,
160,4/23/22 1:00,,overcast clouds,,,,,,
161,4/23/22 2:00,,overcast clouds,,,,,,
162,4/23/22 3:00,,overcast clouds,,,,,,
163,4/23/22 4:00,,overcast clouds,,,,,,
164,4/23/22 5:00,,overcast clouds,,,,,,
165,4/23/22 6:00,,overcast clouds,,,,,,
166,4/23/22 7:00,,overcast clouds,,,,,,
167,4/23/22 8:00,,overcast clouds,,,,,,
168,4/23/22 9:00,,overcast clouds,,,,,,
169,4/23/22 10:00,,overcast clouds,,,,,,
170,4/23/22 11:00,,overcast clouds,,,,,,
171,4/23/22 12:00,,overcast clouds,,,,,,
172,4/23/22 13:00,,overcast clouds,,,,,,
173,4/23/22 14:00,,overcast clouds,,,,,,
174,4/23/22 15:00,,overcast clouds,,,,,,
175,4/23/22 16:00,,overcast clouds,,,,,,
176,4/23/22 17:00,,overcast clouds,,,,,,
177,4/23/22 18:00,,overcast clouds,,,,,,
178,4/23/22 19:00,,overcast clouds,,,,,,
179,4/23/22 20:00,,overcast clouds,,,,,,
180,4/23/22 21:00,,overcast clouds,,,,,,
181,4/23/22 22:00,,overcast clouds,,,,,,
182,4/23/22 23:00,,overcast clouds,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
