"","dt","main","description"
"102",2022-04-27 10:00:00,"Clouds","few clouds"
"103",2022-04-27 11:00:00,"Clouds","broken clouds"
"104",2022-04-27 12:00:00,"Clouds","broken clouds"
"105",2022-04-27 13:00:00,"Clouds","overcast clouds"
"106",2022-04-27 14:00:00,"Clouds","broken clouds"
"107",2022-04-27 15:00:00,"Clear","clear sky"
"108",2022-04-27 16:00:00,"Clear","clear sky"
"109",2022-04-27 17:00:00,"Clouds","few clouds"
"110",2022-04-27 18:00:00,"Clouds","overcast clouds"
"111",2022-04-25 19:00:00,"Clouds","broken clouds"
"112",2022-04-25 20:00:00,"Clouds","broken clouds"
"113",2022-04-25 21:00:00,"Clouds","broken clouds"
"114",2022-04-25 22:00:00,"Clouds","broken clouds"
"115",2022-04-25 23:00:00,"Clouds","overcast clouds"
"116",2022-04-26 00:00:00,"Clouds","overcast clouds"
"117",2022-04-26 01:00:00,"Clouds","overcast clouds"
"118",2022-04-26 02:00:00,"Clouds","overcast clouds"
"119",2022-04-26 03:00:00,"Clouds","overcast clouds"
"120",2022-04-26 04:00:00,"Clouds","overcast clouds"
"121",2022-04-26 05:00:00,"Clouds","overcast clouds"
"122",2022-04-26 06:00:00,"Clouds","overcast clouds"
"123",2022-04-26 07:00:00,"Clouds","overcast clouds"
"124",2022-04-26 08:00:00,"Mist","mist"
"125",2022-04-26 09:00:00,"Haze","haze"
"126",2022-04-26 10:00:00,"Mist","mist"
"127",2022-04-26 11:00:00,"Clouds","overcast clouds"
"128",2022-04-26 12:00:00,"Clouds","overcast clouds"
"129",2022-04-26 13:00:00,"Clouds","overcast clouds"
"130",2022-04-26 14:00:00,"Mist","mist"
"131",2022-04-26 15:00:00,"Drizzle","light intensity drizzle"
"132",2022-04-26 16:00:00,"Mist","mist"
"133",2022-04-26 17:00:00,"Clouds","broken clouds"
"134",2022-04-26 18:00:00,"Rain","moderate rain"
